x_bin,y_bin,z_bin,physical_dose_Gy,z_depth_cm,LETd_keV_um,RBE_wedenberg_ref,RBE_mcnamara_ref,alpha_beta_x_Gy,dose_Gy,dose_RBE_wedenberg_ref,dose_RBE_mcnamara_ref
0,0,0,1.528078973933589e-05,0.05,0.945660412311554,1.0291937194593905,1.0438448366340425,10.0,2.0,2.058387438918781,2.087689673268085
0,0,1,1.488291491114069e-05,0.15,0.8447556495666504,1.0260901826181308,1.0416896379110558,10.0,2.0,2.0521803652362616,2.0833792758221117
0,0,2,1.48359831655398e-05,0.25,0.8050405383110046,1.0248679119668425,1.0408411314891715,10.0,2.0,2.049735823933685,2.081682262978343
0,0,3,1.53001383296214e-05,0.35,1.082299113273621,1.0333919832903304,1.0467618652970834,10.0,2.0,2.066783966580661,2.0935237305941667
0,0,4,1.538745345897041e-05,0.45,1.174292087554932,1.0362156867192676,1.0487248688335908,10.0,2.0,2.072431373438535,2.0974497376671817
0,0,5,1.524659728602273e-05,0.55,0.9270446300506592,1.0286213575164158,1.0434472931876462,10.0,2.0,2.0572427150328316,2.0868945863752923
0,0,6,1.560058626637328e-05,0.65,1.157746553421021,1.0357079916322784,1.0483718636386037,10.0,2.0,2.071415983264557,2.0967437272772074
0,0,7,1.579551280883607e-05,0.75,1.083041667938232,1.0334147848706636,1.0467777133108522,10.0,2.0,2.0668295697413273,2.0935554266217045
0,0,8,1.540126140753273e-05,0.8500000000000001,0.852302610874176,1.0263223996906032,1.0418508619810796,10.0,2.0,2.0526447993812065,2.083701723962159
0,0,9,1.576626164023764e-05,0.95,0.9385085701942444,1.0289738394797077,1.043692111275961,10.0,2.0,2.0579476789594153,2.087384222551922
0,0,10,1.572474866406992e-05,1.05,1.009997963905334,1.0311711312491578,1.0452185463375896,10.0,2.0,2.0623422624983156,2.090437092675179
0,0,11,1.646927012188826e-05,1.15,1.037317633628845,1.0320104652304556,1.045801756929928,10.0,2.0,2.064020930460911,2.091603513859856
0,0,12,1.64362536452245e-05,1.25,1.133227944374084,1.0349555108840023,1.047848706555734,10.0,2.0,2.0699110217680046,2.095697413111468
0,0,13,1.601219628355466e-05,1.35,1.02191960811615,1.0315374208637804,1.045473053277854,10.0,2.0,2.063074841727561,2.090946106555708
0,0,14,1.600601717655081e-05,1.4500000000000002,0.865201473236084,1.0267192572832093,1.0421264061200204,10.0,2.0,2.0534385145664187,2.0842528122400408
0,0,15,1.629291364224628e-05,1.55,0.9841175079345704,1.0303758297413323,1.0446660001528967,10.0,2.0,2.0607516594826647,2.0893320003057934
0,0,16,1.620755756448489e-05,1.65,0.9678406715393066,1.0298755538579587,1.044318461047069,10.0,2.0,2.0597511077159174,2.088636922094138
0,0,17,1.641592825762928e-05,1.75,0.9526408314704896,1.0294083159120446,1.0439938970462563,10.0,2.0,2.0588166318240892,2.0879877940925127
0,0,18,1.694959973974619e-05,1.85,1.044780850410461,1.0322397207068308,1.0459610678290736,10.0,2.0,2.0644794414136616,2.091922135658147
0,0,19,1.660778616496827e-05,1.95,0.9850133657455444,1.0304033622755888,1.044685127629692,10.0,2.0,2.0608067245511776,2.089370255259384
0,0,20,1.686938048806041e-05,2.0500000000000003,1.076337337493896,1.033208910075397,1.0466346240469626,10.0,2.0,2.066417820150794,2.0932692480939252
0,0,21,1.681860157987103e-05,2.15,1.052951574325562,1.032490692362635,1.04613547576826,10.0,2.0,2.06498138472527,2.09227095153652
0,0,22,1.707013689156156e-05,2.25,1.109614968299866,1.0342306727378552,1.04734482415724,10.0,2.0,2.0684613454757104,2.09468964831448
0,0,23,1.71614192367997e-05,2.35,1.038463234901428,1.0320456568359373,1.0458262114116632,10.0,2.0,2.0640913136718746,2.0916524228233264
0,0,24,1.700029315543361e-05,2.45,0.9364358186721802,1.0289101111606485,1.0436478474874478,10.0,2.0,2.057820222321297,2.0872956949748955
0,0,25,1.718405292194802e-05,2.5500000000000003,1.145711660385132,1.0353386585026865,1.048115079864914,10.0,2.0,2.070677317005373,2.096230159729828
0,0,26,1.720316868158989e-05,2.6500000000000004,1.026454448699951,1.031676742762266,1.0455698612344104,10.0,2.0,2.063353485524532,2.091139722468821
0,0,27,1.751899435475934e-05,2.75,1.109922885894775,1.0342401257185636,1.0473513951864026,10.0,2.0,2.068480251437127,2.0947027903728053
0,0,28,1.771977622411214e-05,2.85,1.13944399356842,1.0351462977653902,1.0479813441879982,10.0,2.0,2.0702925955307805,2.0959626883759963
0,0,29,1.746019370330032e-05,2.95,1.140824794769287,1.035188676784442,1.0480108071778864,10.0,2.0,2.070377353568884,2.096021614355773
0,0,30,1.744292785588186e-05,3.0500000000000003,1.022214770317078,1.0315464891685635,1.0454793543360341,10.0,2.0,2.063092978337127,2.0909587086720682
0,0,31,1.772525502019562e-05,3.1500000000000004,1.004133224487305,1.0309909246150357,1.0450933395689965,10.0,2.0,2.0619818492300714,2.090186679137993
0,0,32,1.815337782318238e-05,3.25,1.093165159225464,1.0337256316177021,1.046993769739923,10.0,2.0,2.0674512632354043,2.093987539479846
0,0,33,1.85800399776781e-05,3.35,1.20210075378418,1.0370688236972665,1.049318124122736,10.0,2.0,2.074137647394533,2.098636248245472
0,0,34,1.893379521789029e-05,3.45,1.205791234970093,1.0371820278278738,1.0493968498848836,10.0,2.0,2.0743640556557477,2.098793699769767
0,0,35,1.924227581184823e-05,3.5500000000000003,1.398160815238953,1.043077884679767,1.053498879518803,10.0,2.0,2.086155769359534,2.106997759037606
0,0,36,1.912949301186018e-05,3.65,1.383553385734558,1.0426305317806426,1.0531875066069518,10.0,2.0,2.085261063561285,2.1063750132139036
0,0,37,1.951659942278638e-05,3.75,1.451766967773438,1.0447190907047679,1.0546413950701772,10.0,2.0,2.0894381814095357,2.1092827901403544
0,0,38,1.9273245925433e-05,3.85,1.343574643135071,1.0414058928002463,1.052335223588413,10.0,2.0,2.0828117856004926,2.104670447176826
0,0,39,1.968098695215303e-05,3.95,1.411643147468567,1.0434907313270454,1.0537862535552156,10.0,2.0,2.086981462654091,2.107572507110431
0,0,40,1.996654646063689e-05,4.05,1.277821660041809,1.039390809197124,1.0509331766171566,10.0,2.0,2.078781618394248,2.101866353234313
0,0,41,1.94330423255451e-05,4.15,1.151766777038574,1.0355244859309591,1.0482442770631404,10.0,2.0,2.0710489718619183,2.0964885541262808
0,0,42,1.985121161851566e-05,4.25,1.362292766571045,1.0419793238168285,1.0527342811855673,10.0,2.0,2.083958647633657,2.1054685623711347
0,0,43,2.016402504523285e-05,4.3500000000000005,1.290318012237549,1.0397738640562264,1.0511996641639056,10.0,2.0,2.079547728112453,2.1023993283278113
0,0,44,2.010460411838721e-05,4.45,1.245045304298401,1.0383859075901762,1.0502341496579293,10.0,2.0,2.0767718151803525,2.1004682993158585
0,0,45,2.032049815170467e-05,4.55,1.192259788513184,1.036766938053363,1.049108189811502,10.0,2.0,2.073533876106726,2.098216379623004
0,0,46,2.106813553837128e-05,4.65,1.289728403091431,1.0397557915018432,1.051187090916497,10.0,2.0,2.0795115830036863,2.102374181832994
0,0,47,2.136981493094936e-05,4.75,1.316019296646118,1.0405615638443866,1.0517477077387243,10.0,2.0,2.081123127688773,2.1034954154774486
0,0,48,2.172561289626174e-05,4.8500000000000005,1.247544884681702,1.038462553140266,1.0502874618887197,10.0,2.0,2.076925106280532,2.1005749237774394
0,0,49,2.209388912888244e-05,4.95,1.342093706130981,1.041360520228126,1.052303649740748,10.0,2.0,2.082721040456252,2.104607299481496
0,0,50,2.222710827481933e-05,5.050000000000001,1.309450030326843,1.0403602438990478,1.0516076328115695,10.0,2.0,2.0807204877980956,2.103215265623139
0,0,51,2.259944994875696e-05,5.15,1.399044632911682,1.04310494980629,1.0535177184466975,10.0,2.0,2.08620989961258,2.107035436893395
0,0,52,2.290263364557177e-05,5.25,1.471117734909058,1.045311347184513,1.0550537602689887,10.0,2.0,2.090622694369026,2.1101075205379773
0,0,53,2.318498081876896e-05,5.3500000000000005,1.452921509742737,1.0447544298038722,1.0546659992797829,10.0,2.0,2.0895088596077445,2.1093319985595658
0,0,54,2.366583430557512e-05,5.45,1.701407551765442,1.052352099487479,1.0599587831804742,10.0,2.0,2.104704198974958,2.1199175663609484
0,0,55,2.425538514216896e-05,5.550000000000001,1.628764986991882,1.0501326738837857,1.0584120328925253,10.0,2.0,2.1002653477675715,2.1168240657850506
0,0,56,2.428026164125185e-05,5.65,1.479721188545227,1.0455746357839253,1.0552370897287005,10.0,2.0,2.0911492715678506,2.110474179457401
0,0,57,2.412967842246871e-05,5.75,1.563501954078674,1.0481375289065489,1.0570220280778528,10.0,2.0,2.0962750578130978,2.1140440561557057
0,0,58,2.466533806000371e-05,5.8500000000000005,1.554460167884827,1.0478610255238308,1.0568294228840713,10.0,2.0,2.0957220510476615,2.1136588457681427
0,0,59,2.535717248974834e-05,5.95,1.650436162948608,1.0507949317525855,1.058873516049029,10.0,2.0,2.101589863505171,2.117747032098058
0,0,60,2.602919812488835e-05,6.050000000000001,1.626222610473633,1.0500549723170174,1.0583578908898432,10.0,2.0,2.1001099446340348,2.1167157817796864
0,0,61,2.603372558951378e-05,6.15,1.772098422050476,1.0545105651249584,1.0614635449384715,10.0,2.0,2.109021130249917,2.122927089876943
0,0,62,2.68850453721825e-05,6.25,1.600270509719849,1.0492617120479024,1.0578051879575576,10.0,2.0,2.098523424095805,2.1156103759151152
0,0,63,2.734790723479819e-05,6.3500000000000005,1.729629635810852,1.0532139860935699,1.0605595838435717,10.0,2.0,2.1064279721871397,2.1211191676871435
0,0,64,2.846934694389347e-05,6.45,1.779125809669495,1.054725066822789,1.0616131102228885,10.0,2.0,2.109450133645578,2.123226220445777
0,0,65,2.94820074486779e-05,6.550000000000001,1.89624547958374,1.0582980860335005,1.0641051729570519,10.0,2.0,2.116596172067001,2.1282103459141037
0,0,66,3.033423854503781e-05,6.65,1.818393230438232,1.0559234146709482,1.0624487691716347,10.0,2.0,2.1118468293418964,2.1248975383432693
0,0,67,3.200975334038958e-05,6.75,2.160542488098145,1.0663479527266122,1.0697245853505932,10.0,2.0,2.1326959054532244,2.1394491707011865
0,0,68,3.265653867856599e-05,6.8500000000000005,2.096427202224731,1.0643968217473723,1.0683619268711784,10.0,2.0,2.1287936434947445,2.1367238537423567
0,0,69,3.400433342903852e-05,6.95,2.092686414718628,1.0642829506078697,1.0682824122244208,10.0,2.0,2.1285659012157394,2.1365648244488415
0,0,70,3.581005876185372e-05,7.050000000000001,2.266525745391846,1.0695708547036897,1.071976312617167,10.0,2.0,2.1391417094073795,2.143952625234334
0,0,71,3.747452137758955e-05,7.15,2.407676696777344,1.0738586770045457,1.07497374356563,10.0,2.0,2.1477173540090915,2.14994748713126
0,0,72,4.046520916745067e-05,7.25,2.718667030334473,1.083287700643444,1.081571910952448,10.0,2.0,2.166575401286888,2.163143821904896
0,0,73,4.40594922110904e-05,7.35,2.914401769638062,1.0892095486348325,1.0857205888434502,10.0,2.0,2.178419097269665,2.1714411776869005
0,0,74,5.046889782533981e-05,7.45,3.482211589813232,1.1063333061420533,1.0977375074508697,10.0,2.0,2.2126666122841065,2.1954750149017395
0,0,75,6.199823110364377e-05,7.550000000000001,4.969896793365479,1.1508173884981305,1.1290967384868913,10.0,2.0,2.301634776996261,2.2581934769737826
0,0,76,7.602822006447241e-05,7.65,7.93618631362915,1.2379342463528604,1.1910966856503697,10.0,2.0,2.475868492705721,2.3821933713007395
0,0,77,6.429647328332067e-05,7.75,12.05233001708984,1.3555616469858829,1.2760223035072094,10.0,2.0,2.7111232939717658,2.5520446070144187
0,0,78,2.46529216383351e-05,7.85,15.49180603027344,1.451167157761025,1.346054690743244,10.0,2.0,2.90233431552205,2.692109381486488
0,0,79,3.129213837382849e-06,7.95,17.37559509277344,1.502562196285254,1.3840693796986345,10.0,2.0,3.005124392570508,2.768138759397269
0,0,80,1.860617970805833e-07,8.05,21.69945335388184,1.6181040999217542,1.4704543762285374,10.0,2.0,3.2362081998435084,2.9409087524570747
0,0,81,0.0,8.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,82,0.0,8.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,83,0.0,8.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,84,0.0,8.450000000000001,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,85,0.0,8.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,86,0.0,8.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,87,0.0,8.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,88,0.0,8.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,89,0.0,8.950000000000001,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,90,0.0,9.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,91,0.0,9.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,92,4.939802974762884e-16,9.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,93,0.0,9.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,94,0.0,9.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,95,0.0,9.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,96,0.0,9.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,97,0.0,9.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,98,0.0,9.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,99,4.438467201991315e-16,9.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,100,0.0,10.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,101,0.0,10.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,102,0.0,10.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,103,0.0,10.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,104,0.0,10.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,105,0.0,10.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,106,0.0,10.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,107,0.0,10.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,108,0.0,10.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,109,0.0,10.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,110,0.0,11.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,111,0.0,11.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,112,0.0,11.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,113,0.0,11.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,114,0.0,11.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,115,0.0,11.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,116,0.0,11.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,117,0.0,11.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,118,0.0,11.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,119,0.0,11.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,120,0.0,12.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,121,0.0,12.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,122,0.0,12.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,123,9.252867222420136e-11,12.35,21.59305572509766,1.61529987878723,1.468342789857699,10.0,2.0,3.23059975757446,2.936685579715398
0,0,124,0.0,12.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,125,0.0,12.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,126,0.0,12.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,127,0.0,12.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,128,0.0,12.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,129,0.0,12.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,130,0.0,13.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,131,0.0,13.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,132,0.0,13.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,133,0.0,13.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,134,0.0,13.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,135,0.0,13.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,136,0.0,13.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,137,0.0,13.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,138,0.0,13.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,139,0.0,13.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,140,0.0,14.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,141,0.0,14.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,142,0.0,14.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,143,0.0,14.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,144,0.0,14.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,145,0.0,14.55,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,146,0.0,14.65,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,147,0.0,14.75,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,148,0.0,14.85,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,149,0.0,14.95,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,150,0.0,15.05,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,151,0.0,15.15,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,152,0.0,15.25,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,153,0.0,15.35,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
0,0,154,0.0,15.45,0.0,1.0,1.0236119877194194,10.0,2.0,2.0,2.047223975438839
