# TOPAS Version: 4.2.p3
# Parameter File: run.txt
# Results for scorer: PhysDose
# Scored in component: Sample
# X in 1 bin  of 0.4 cm
# Y in 1 bin  of 0.4 cm
# Z in 200 bins of 0.1 cm
# DoseToWater ( Gy ) : Sum   
0, 0, 0, 1.528078973933589e-05
0, 0, 1, 1.488291491114069e-05
0, 0, 2, 1.48359831655398e-05
0, 0, 3, 1.53001383296214e-05
0, 0, 4, 1.538745345897041e-05
0, 0, 5, 1.524659728602273e-05
0, 0, 6, 1.560058626637328e-05
0, 0, 7, 1.579551280883607e-05
0, 0, 8, 1.540126140753273e-05
0, 0, 9, 1.576626164023764e-05
0, 0, 10, 1.572474866406992e-05
0, 0, 11, 1.646927012188826e-05
0, 0, 12, 1.64362536452245e-05
0, 0, 13, 1.601219628355466e-05
0, 0, 14, 1.600601717655081e-05
0, 0, 15, 1.629291364224628e-05
0, 0, 16, 1.620755756448489e-05
0, 0, 17, 1.641592825762928e-05
0, 0, 18, 1.694959973974619e-05
0, 0, 19, 1.660778616496827e-05
0, 0, 20, 1.686938048806041e-05
0, 0, 21, 1.681860157987103e-05
0, 0, 22, 1.707013689156156e-05
0, 0, 23, 1.71614192367997e-05
0, 0, 24, 1.700029315543361e-05
0, 0, 25, 1.718405292194802e-05
0, 0, 26, 1.720316868158989e-05
0, 0, 27, 1.751899435475934e-05
0, 0, 28, 1.771977622411214e-05
0, 0, 29, 1.746019370330032e-05
0, 0, 30, 1.744292785588186e-05
0, 0, 31, 1.772525502019562e-05
0, 0, 32, 1.815337782318238e-05
0, 0, 33, 1.85800399776781e-05
0, 0, 34, 1.893379521789029e-05
0, 0, 35, 1.924227581184823e-05
0, 0, 36, 1.912949301186018e-05
0, 0, 37, 1.951659942278638e-05
0, 0, 38, 1.9273245925433e-05
0, 0, 39, 1.968098695215303e-05
0, 0, 40, 1.996654646063689e-05
0, 0, 41, 1.94330423255451e-05
0, 0, 42, 1.985121161851566e-05
0, 0, 43, 2.016402504523285e-05
0, 0, 44, 2.010460411838721e-05
0, 0, 45, 2.032049815170467e-05
0, 0, 46, 2.106813553837128e-05
0, 0, 47, 2.136981493094936e-05
0, 0, 48, 2.172561289626174e-05
0, 0, 49, 2.209388912888244e-05
0, 0, 50, 2.222710827481933e-05
0, 0, 51, 2.259944994875696e-05
0, 0, 52, 2.290263364557177e-05
0, 0, 53, 2.318498081876896e-05
0, 0, 54, 2.366583430557512e-05
0, 0, 55, 2.425538514216896e-05
0, 0, 56, 2.428026164125185e-05
0, 0, 57, 2.412967842246871e-05
0, 0, 58, 2.466533806000371e-05
0, 0, 59, 2.535717248974834e-05
0, 0, 60, 2.602919812488835e-05
0, 0, 61, 2.603372558951378e-05
0, 0, 62, 2.68850453721825e-05
0, 0, 63, 2.734790723479819e-05
0, 0, 64, 2.846934694389347e-05
0, 0, 65, 2.94820074486779e-05
0, 0, 66, 3.033423854503781e-05
0, 0, 67, 3.200975334038958e-05
0, 0, 68, 3.265653867856599e-05
0, 0, 69, 3.400433342903852e-05
0, 0, 70, 3.581005876185372e-05
0, 0, 71, 3.747452137758955e-05
0, 0, 72, 4.046520916745067e-05
0, 0, 73, 4.40594922110904e-05
0, 0, 74, 5.046889782533981e-05
0, 0, 75, 6.199823110364377e-05
0, 0, 76, 7.602822006447241e-05
0, 0, 77, 6.429647328332067e-05
0, 0, 78, 2.46529216383351e-05
0, 0, 79, 3.129213837382849e-06
0, 0, 80, 1.860617970805833e-07
0, 0, 81, 0
0, 0, 82, 0
0, 0, 83, 0
0, 0, 84, 0
0, 0, 85, 0
0, 0, 86, 0
0, 0, 87, 0
0, 0, 88, 0
0, 0, 89, 0
0, 0, 90, 0
0, 0, 91, 0
0, 0, 92, 4.939802974762882e-16
0, 0, 93, 0
0, 0, 94, 0
0, 0, 95, 0
0, 0, 96, 0
0, 0, 97, 0
0, 0, 98, 0
0, 0, 99, 4.438467201991315e-16
0, 0, 100, 0
0, 0, 101, 0
0, 0, 102, 0
0, 0, 103, 0
0, 0, 104, 0
0, 0, 105, 0
0, 0, 106, 0
0, 0, 107, 0
0, 0, 108, 0
0, 0, 109, 0
0, 0, 110, 0
0, 0, 111, 0
0, 0, 112, 0
0, 0, 113, 0
0, 0, 114, 0
0, 0, 115, 0
0, 0, 116, 0
0, 0, 117, 0
0, 0, 118, 0
0, 0, 119, 0
0, 0, 120, 0
0, 0, 121, 0
0, 0, 122, 0
0, 0, 123, 9.252867222420136e-11
0, 0, 124, 0
0, 0, 125, 0
0, 0, 126, 0
0, 0, 127, 0
0, 0, 128, 0
0, 0, 129, 0
0, 0, 130, 0
0, 0, 131, 0
0, 0, 132, 0
0, 0, 133, 0
0, 0, 134, 0
0, 0, 135, 0
0, 0, 136, 0
0, 0, 137, 0
0, 0, 138, 0
0, 0, 139, 0
0, 0, 140, 0
0, 0, 141, 0
0, 0, 142, 0
0, 0, 143, 0
0, 0, 144, 0
0, 0, 145, 0
0, 0, 146, 0
0, 0, 147, 0
0, 0, 148, 0
0, 0, 149, 0
0, 0, 150, 0
0, 0, 151, 0
0, 0, 152, 0
0, 0, 153, 0
0, 0, 154, 0
0, 0, 155, 0
0, 0, 156, 0
0, 0, 157, 0
0, 0, 158, 0
0, 0, 159, 0
0, 0, 160, 0
0, 0, 161, 0
0, 0, 162, 0
0, 0, 163, 0
0, 0, 164, 0
0, 0, 165, 0
0, 0, 166, 0
0, 0, 167, 0
0, 0, 168, 0
0, 0, 169, 0
0, 0, 170, 0
0, 0, 171, 0
0, 0, 172, 0
0, 0, 173, 0
0, 0, 174, 0
0, 0, 175, 0
0, 0, 176, 0
0, 0, 177, 0
0, 0, 178, 0
0, 0, 179, 5.452386550980598e-16
0, 0, 180, 0
0, 0, 181, 0
0, 0, 182, 0
0, 0, 183, 0
0, 0, 184, 0
0, 0, 185, 0
0, 0, 186, 0
0, 0, 187, 0
0, 0, 188, 0
0, 0, 189, 0
0, 0, 190, 0
0, 0, 191, 0
0, 0, 192, 0
0, 0, 193, 0
0, 0, 194, 0
0, 0, 195, 0
0, 0, 196, 0
0, 0, 197, 0
0, 0, 198, 0
0, 0, 199, 0
