KE_MeV,stopping_MeV_cm2_g
1.0,269.6802520206043
1.0974987654930561,252.5406549629449
1.2045035402587823,236.32250357563305
1.321941148466029,220.9974416162848
1.4508287784959397,206.53487899020013
1.5922827933410924,192.90261244537373
1.7475284000076838,180.06735361623274
1.9179102616724888,167.99517597950413
2.1049041445120205,156.65189096209187
2.3101297000831598,146.0033622616893
2.535364493970112,136.0157663898621
2.782559402207125,126.65580651203243
3.0538555088334154,117.89088582627892
3.3516026509388426,109.68924598225598
3.6783797718286344,102.0200753837224
4.0370172585965545,94.85359163316534
4.430621457583881,88.16110185848177
4.862601580065355,81.91504420088697
5.3366992312063095,76.08901333545185
5.857020818056667,70.65777253408784
6.428073117284322,65.59725446085776
7.054802310718643,60.88455260675445
7.742636826811272,56.4979050210913
8.497534359086444,52.41667177617188
9.326033468832199,48.621307407463576
10.235310218990262,45.093329400262185
11.233240329780276,41.81528364326945
12.328467394420665,38.770707637171505
13.530477745798075,35.94409213027805
14.84968262254465,33.32084175164073
16.297508346206442,30.887235123147533
17.886495290574352,28.63038485451515
19.630406500402714,26.538197757479775
21.544346900318846,24.599335556693177
23.644894126454084,22.80317632383487
25.950242113997373,21.139776817319643
28.48035868435802,19.59983587188666
31.25715849688237,18.174658949599408
34.30469286314919,16.856123935681193
37.649358067924695,15.636648238624893
41.32012400115339,14.509157233596632
45.34878508128585,13.467054070886771
49.770235643321115,12.504190856615631
54.62277217684343,11.614841200744078
59.94842503189412,10.793674117341293
65.79332246575683,10.035729253753198
72.20809018385468,9.336393418546828
79.24828983539177,8.691378372663642
86.97490026177834,8.096699843908311
95.45484566618342,7.548657721559394
104.76157527896652,7.0438173853752035
114.97569953977369,6.57899212144958
126.1856883066021,6.151226576146513
138.48863713938732,5.757781198615056
151.99110829529346,5.39611762208457
166.81005372000593,5.063884934204189
183.07382802953697,4.758906787075696
200.9233002565048,4.479169298305602
220.51307399030455,4.222809695352485
242.01282647943833,3.988105656666465
265.6087782946687,3.773465304615394
291.5053062825179,3.577417806983409
319.92671377973846,3.398604545934375
351.11917342151344,3.2357708157792087
385.3528593710531,3.0877580136931737
422.9242874389499,2.9534962907072377
464.1588833612782,2.831997633839685
509.413801481638,2.7223493541070027
559.0810182512229,2.623707959290724
613.5907273413176,2.535293394632929
673.4150657750828,2.4563836389384015
739.0722033525783,2.3863096476851697
811.1308307896873,2.324450638460905
890.2150854450392,2.2702297171035415
977.0099572992257,2.2231098450824227
1072.2672220103243,2.182590149689356
1176.811952434999,2.1482025783511824
1291.549665014884,2.119508896745976
1417.4741629268062,2.096098027433508
1555.6761439304723,2.0775837215513717
1707.352647470692,2.063602551061214
1873.817422860385,2.05381220344406
2056.5123083486537,2.0478900551057238
2257.0197196339213,2.0455319945592527
2477.0763559917114,2.0464514621742937
2718.588242732943,2.0503786703193083
2983.64724028334,2.057059966345446
3274.5491628777318,2.0662573011923095
3593.8136638046294,2.0777477683957013
3944.20605943766,2.0913231817546465
4328.7612810830615,2.106789664557509
4750.810162102798,2.1239672286835085
5214.00828799969,2.1426893276644456
5722.3676593502205,2.162802373505111
6280.29144183426,2.184165212367035
6892.612104349702,2.2066485588467453
7564.633275546291,2.2301343923484214
8302.175681319752,2.254515321878232
9111.627561154895,2.2681891385923247
10000.0,2.2794288135417933
