KE_MeV,stopping_MeV_cm2_g
1.0,178.83602920292577
1.0974987654930561,168.85874274493526
1.2045035402587823,159.24599819195998
1.321941148466029,150.01184900898755
1.4508287784959397,141.16497478725836
1.5922827933410924,132.70952513970133
1.7475284000076838,124.6458560691806
1.9179102616724888,116.9711712544551
2.1049041445120205,109.68007933609523
2.3101297000831598,102.76507706613067
2.535364493970112,96.2169670954277
2.782559402207125,90.02521819908975
3.0538555088334154,84.17827487011901
3.3516026509388426,78.66382243442399
3.6783797718286344,73.46901314680673
4.0370172585965545,68.58065810832451
4.430621457583881,63.985389293632934
4.862601580065355,59.66979548443374
5.3366992312063095,55.62053546677707
5.857020818056667,51.82443145926281
6.428073117284322,48.26854539143644
7.054802310718643,44.94024034241466
7.742636826811272,41.82722917464097
8.497534359086444,38.91761215329962
9.326033468832199,36.19990512486045
10.235310218990262,33.66305963560272
11.233240329780276,31.29647620018597
12.328467394420665,29.09001177895198
13.530477745798075,27.03398238864774
14.84968262254465,25.119161652709845
16.297508346206442,23.336775992442888
17.886495290574352,21.678497067911024
19.630406500402714,20.136431995729914
21.544346900318846,18.70311179901429
23.644894126454084,17.37147848142794
25.950242113997373,16.13487106162584
28.48035868435802,14.987010855505327
31.25715849688237,13.921986250844627
34.30469286314919,12.934237181390156
37.649358067924695,12.018539474675231
41.32012400115339,11.169989219236875
45.34878508128585,10.383987271983507
49.770235643321115,9.656224004799531
54.62277217684343,8.982664370682011
59.94842503189412,8.359533353435854
65.79332246575683,7.783301850906058
72.20809018385468,7.2506730296241395
79.24828983539177,6.758569178350291
86.97490026177834,6.304119079089201
95.45484566618342,5.884645906553326
104.76157527896652,5.497655660580851
114.97569953977369,5.140826130534195
126.1856883066021,4.811996386085621
138.48863713938732,4.509156784925949
151.99110829529346,4.230439484718689
166.81005372000593,3.9741094439853226
183.07382802953697,3.7385558944855197
200.9233002565048,3.5222842659991676
220.51307399030455,3.3239085431890323
242.01282647943833,3.1421440334008333
265.6087782946687,2.975800523829078
291.5053062825179,2.8237758064395613
319.92671377973846,2.685049549397344
351.11917342151344,2.5586774945098156
385.3528593710531,2.44378596136486
422.9242874389499,2.339566640424129
464.1588833612782,2.2452716593086666
509.413801481638,2.1602089088558727
559.0810182512229,2.083737618175231
613.5907273413176,2.015264170795024
673.4150657750828,1.9542381569489826
739.0722033525783,1.9001486599413562
811.1308307896873,1.8525207771628154
890.2150854450392,1.8109123785008396
977.0099572992257,1.7749111063870397
1072.2672220103243,1.7441316223594596
1176.811952434999,1.718213104642585
1291.549665014884,1.696816999781444
1417.4741629268062,1.679625028817492
1555.6761439304723,1.6663374449729182
1707.352647470692,1.6566715355305983
1873.817422860385,1.6503603558647704
2056.5123083486537,1.647151678765112
2257.0197196339213,1.6468071377066908
2477.0763559917114,1.6491015389392025
2718.588242732943,1.653822314532415
2983.64724028334,1.6607690870568856
3274.5491628777318,1.6697533165145113
3593.8136638046294,1.6805980014459863
3944.20605943766,1.6931374086913225
4328.7612810830615,1.7072168098231546
4750.810162102798,1.7226922065000412
5214.00828799969,1.7394300315580302
5722.3676593502205,1.757306817240802
6280.29144183426,1.7762088262692646
6892.612104349702,1.796031645240669
7564.633275546291,1.8166797429699804
8302.175681319752,1.8380659987637538
9111.627561154895,1.850125424005375
10000.0,1.8600433745157752
