KE_MeV,stopping_MeV_cm2_g
1.0,299.092697875967
1.0974987654930561,279.53043791580257
1.2045035402587823,261.0883455628126
1.321941148466029,243.7218791617991
1.4508287784959397,227.3855706194408
1.5922827933410924,212.03354154174832
1.7475284000076838,197.61993497930055
1.9179102616724888,184.09927370143532
2.1049041445120205,171.42675464594294
2.3101297000831598,159.55848805699708
2.535364493970112,148.4516888149663
2.782559402207125,138.06482656528343
3.0538555088334154,128.3577404569421
3.3516026509388426,119.29172359377418
3.6783797718286344,110.82958167460437
4.0370172585965545,102.93566974173416
4.430621457583881,95.57591046498915
4.862601580065355,88.71779695199092
5.3366992312063095,82.33038269000645
5.857020818056667,76.38426088384652
6.428073117284322,70.85153515347557
7.054802310718643,65.70578328994459
7.742636826811272,60.922015534565254
8.497534359086444,56.47662864083927
9.326033468832199,52.34735679811571
10.235310218990262,48.5132203375434
11.233240329780276,44.954473002164065
12.328467394420665,41.652548441578226
13.530477745798075,38.59000648566763
14.84968262254465,35.75047965950978
16.297508346206442,33.1186203212681
17.886495290574352,30.680048735169883
19.630406500402714,28.421302331347434
21.544346900318846,26.32978635223894
23.644894126454084,24.39372604043875
25.950242113997373,22.602120484458396
28.48035868435802,20.944698206020725
31.25715849688237,19.411874544593807
34.30469286314919,17.994710871224775
37.649358067924695,16.684875643854546
41.32012400115339,15.474607299656096
45.34878508128585,14.356678966153597
49.770235643321115,13.324364961537976
54.62277217684343,12.371409045385974
59.94842503189412,11.491994373605024
65.79332246575683,10.680715105613437
72.20809018385468,9.932549607292678
79.24828983539177,9.242835189916589
86.97490026177834,8.607244322896685
95.45484566618342,8.021762256625083
104.76157527896652,7.4826659908225
114.97569953977369,6.986504523485243
126.1856883066021,6.530080315682454
138.48863713938732,6.110431907998059
151.99110829529346,5.724817625278589
166.81005372000593,5.370700307486203
183.07382802953697,5.045733005831021
200.9233002565048,4.747745584946203
220.51307399030455,4.474732173663629
242.01282647943833,4.224839408952059
265.6087782946687,3.99635541980725
291.5053062825179,3.7876995003581126
319.92671377973846,3.597412424203678
351.11917342151344,3.424147355052333
385.3528593710531,3.266661312123369
422.9242874389499,3.1238071525056714
464.1588833612782,2.9945260367449102
509.413801481638,2.877840348316069
559.0810182512229,2.7728470422650537
613.5907273413176,2.678711403061386
673.4150657750828,2.594661196438299
739.0722033525783,2.5199812045082624
811.1308307896873,2.454008137495341
890.2150854450392,2.39612591876411
977.0099572992257,2.3457613421911456
1072.2672220103243,2.3023801020905883
1176.811952434999,2.2654831957008272
1291.549665014884,2.2346036965858196
1417.4741629268062,2.2093038942394414
1555.6761439304723,2.189172790872341
1707.352647470692,2.1738239411075417
1873.817422860385,2.162893614526108
2056.5123083486537,2.156039255179085
2257.0197196339213,2.1529382068381278
2477.0763559917114,2.1532866683893763
2718.588242732943,2.1567988407950875
2983.64724028334,2.1632062257372704
3274.5491628777318,2.1722570365384204
3593.8136638046294,2.1837156841778302
3944.20605943766,2.1973623049815454
4328.7612810830615,2.2129923015275774
4750.810162102798,2.2304158740619915
5214.00828799969,2.249457525821965
5722.3676593502205,2.269955531682717
6280.29144183426,2.2917613651185658
6892.612104349702,2.314739083312137
7564.633275546291,2.3387646741770367
8302.175681319752,2.363725371994804
9111.627561154895,2.377698388725375
10000.0,2.389181897161972
