year,month,phi_MV,date
2011,11,548.1,2011-11-15
2011,12,510.9,2011-12-15
2012,1,534.7,2012-01-15
2012,2,570.4,2012-02-15
2012,3,648.5,2012-03-15
2012,4,557.3,2012-04-15
2012,5,552.8,2012-05-15
2012,6,587.9,2012-06-15
2012,7,661.6,2012-07-15
2012,8,649.6,2012-08-15
